rung  WNS      delta   worst startpoint -> endpoint
  20   -1.716  +0.000   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  21   -1.689  +0.027   FtbPlugin_logic_rspPayload_framedOk_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  22   -1.682  +0.007   _zz_DecodeStage_logic_fed_payload_packets_0_words_0_reg[1]/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  23   -1.678  +0.004   FetchAlignPlugin_logic_resultExpectedSlot_reg[0]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  24   -1.664  +0.014   DcachePlugin_logic_tagMem_2_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  25   -1.640  +0.024   _zz_DecodeStage_logic_fed_payload_specs_0_spec_size_reg[0]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  26   -1.632  +0.008   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  27   -1.602  +0.030   DecodeStage_logic_ucPendPkt_words_0_reg[1]/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  28   -1.596  +0.006   FetchAlignPlugin_logic_predictPending_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  29   -1.591  +0.005   DcachePlugin_logic_stS3Payload_cacheMode_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  30   -1.590  +0.001   DcachePlugin_logic_tagMem_0_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  31   -1.588  +0.002   DcachePlugin_logic_stS3Hit_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  32   -1.581  +0.007   RobPlugin_logic_exc_fsm_stateReg_reg[4]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  33   -1.579  +0.002   LsEuPlugin_logic_p3Ctx_paddr_reg[6]/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
  34   -1.572  +0.007   DcachePlugin_logic_tagMem_1_reg/CLKARDCLK -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  35   -1.562  +0.010   DcachePlugin_logic_valids_3_75_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  36   -1.561  +0.001   LsEuPlugin_logic_alignedSendPtr_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  37   -1.556  +0.005   RobPlugin_logic_exc_fsm_stateReg_reg[3]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  38   -1.542  +0.014   FetchAlignPlugin_logic_ibuf/headPtr_reg[0]_rep/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  39   -1.542  +0.000   AluEuPlugin_logic_s1Ctx_uop_op_reg[1]/C -> RobPlugin_logic_nzvcValStore_44_reg[2]/D
  40   -1.530  +0.012   DcachePlugin_logic_valids_3_72_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  41   -1.530  +0.000   FetchAlignPlugin_logic_ibuf/headPtr_reg[1]_rep__0/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  42   -1.523  +0.007   DcachePlugin_logic_valids_3_73_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  43   -1.520  +0.003   RobPlugin_logic_faultedStore_46_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  44   -1.509  +0.011   DcachePlugin_logic_ldS1Set_reg[1]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  45   -1.508  +0.001   IssueQueuePlugin_logic_lines_1_ways_1_lsWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  46   -1.508  +0.000   _zz_DecodeStage_logic_fed_payload_packets_0_words_1_reg[0]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  47   -1.502  +0.006   AluEuPlugin_logic_s1X_1_reg/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
  48   -1.501  +0.001   DcachePlugin_logic_ldS1Set_reg[1]/C -> DcachePlugin_logic_evictWDone_reg/D
  49   -1.501  +0.000   DcachePlugin_logic_valids_1_91_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  50   -1.498  +0.003   DcachePlugin_logic_valids_3_88_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  51   -1.496  +0.002   DcachePlugin_logic_valids_3_65_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  52   -1.494  +0.002   LsEuPlugin_logic_bkBusy_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  53   -1.489  +0.005   DcachePlugin_logic_valids_3_64_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  54   -1.482  +0.007   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMB/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  55   -1.478  +0.004   IssueQueuePlugin_logic_lines_1_ways_1_aluSlowWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  56   -1.471  +0.007   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMA/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  57   -1.465  +0.006   IssueQueuePlugin_logic_lines_1_ways_1_triggers_reg[2]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  58   -1.464  +0.001   RobPlugin_logic_faultedStore_62_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  59   -1.464  +0.000   DcachePlugin_logic_storeMissBarrier_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  60   -1.458  +0.006   DcachePlugin_logic_valids_3_74_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  61   -1.450  +0.008   DcachePlugin_logic_valids_3_89_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  62   -1.450  +0.000   DcachePlugin_logic_stS2Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  63   -1.450  +0.000   DcachePlugin_logic_stS1Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  64   -1.449  +0.001   LsEuPlugin_logic_alignedMem_0_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  65   -1.448  +0.001   FetchAlignPlugin_logic_ibuf/entries_18_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  66   -1.448  +0.000   DcachePlugin_logic_stS3Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  67   -1.443  +0.005   LsEuPlugin_logic_alignedMem_1_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  68   -1.439  +0.004   DcachePlugin_logic_valids_1_65_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  69   -1.435  +0.004   RobPlugin_logic_faultedStore_60_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  70   -1.432  +0.003   RobPlugin_logic_faultedStore_61_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  71   -1.431  +0.001   DcachePlugin_logic_valids_3_68_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  72   -1.430  +0.001   _zz_DecodeStage_logic_fed_payload_specs_0_srcEa_base_reg[0]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
