rung  WNS      delta   worst startpoint -> endpoint
 181   -1.283  +0.001   IssueQueuePlugin_logic_lines_2_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 182   -1.283  +0.000   DcachePlugin_logic_valids_1_121_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 183   -1.282  +0.001   RobPlugin_logic_completes_14_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 184   -1.281  +0.001   DcachePlugin_logic_valids_3_59_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 185   -1.281  +0.000   _zz_DecodeStage_logic_fed_payload_packets_1_words_0_reg[3]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
 186   -1.280  +0.001   DcachePlugin_logic_valids_1_94_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 187   -1.278  +0.002   DcachePlugin_logic_valids_1_75_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 188   -1.274  +0.004   RobPlugin_logic_faultedStore_8_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 189   -1.273  +0.001   RobPlugin_logic_faultedStore_54_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 190   -1.273  +0.000   RobPlugin_logic_completes_12_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 191   -1.273  +0.000   DcachePlugin_logic_valids_2_94_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 192   -1.272  +0.001   IssueQueuePlugin_logic_lines_0_ways_1_triggers_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 193   -1.271  +0.001   DcachePlugin_logic_valids_3_77_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 194   -1.269  +0.002   RobPlugin_logic_head_reg[0]_rep__5/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 195   -1.268  +0.001   RobPlugin_logic_faultedStore_52_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 196   -1.268  +0.000   IssueQueuePlugin_logic_lines_2_ways_1_lsNzvcWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 197   -1.268  +0.000   LsEuPlugin_logic_llReg_vaddr_reg[22]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 198   -1.267  +0.001   DcachePlugin_logic_valids_3_69_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 199   -1.267  +0.000   DcachePlugin_logic_valids_3_45_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
