rung  WNS      delta   worst startpoint -> endpoint
  20   -1.720  +0.015   DcachePlugin_logic_missCmode_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  21   -1.716  +0.004   RobPlugin_logic_doFlushReg_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  22   -1.716  +0.000   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  23   -1.689  +0.027   FtbPlugin_logic_rspPayload_framedOk_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  24   -1.678  +0.011   FetchAlignPlugin_logic_resultExpectedSlot_reg[0]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  25   -1.664  +0.014   DcachePlugin_logic_tagMem_2_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  26   -1.644  +0.020   _zz_DecodeStage_logic_fed_payload_packets_0_words_1_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  27   -1.632  +0.012   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  28   -1.625  +0.007   FetchAlignPlugin_logic_ibuf/headPtr_reg[0]_rep/C -> FetchAlignPlugin_logic_predictPending_reg/D
  29   -1.613  +0.012   FetchAlignPlugin_logic_ibuf/headPtr_reg[1]_rep__0/C -> FetchAlignPlugin_logic_predictPending_reg/D
  30   -1.602  +0.011   DecodeStage_logic_ucPendPkt_words_0_reg[1]/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  31   -1.596  +0.006   FetchAlignPlugin_logic_predictPending_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  32   -1.591  +0.005   DcachePlugin_logic_stS3Payload_cacheMode_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  33   -1.590  +0.001   DcachePlugin_logic_tagMem_0_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  34   -1.588  +0.002   DcachePlugin_logic_stS3Hit_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  35   -1.581  +0.007   RobPlugin_logic_exc_fsm_stateReg_reg[4]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  36   -1.579  +0.002   LsEuPlugin_logic_p3Ctx_paddr_reg[6]/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
  37   -1.572  +0.007   DcachePlugin_logic_tagMem_1_reg/CLKARDCLK -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  38   -1.566  +0.006   _zz_DecodeStage_logic_fed_payload_specs_0_srcEa_base_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  39   -1.562  +0.004   DcachePlugin_logic_valids_3_75_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  40   -1.561  +0.001   LsEuPlugin_logic_alignedSendPtr_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  41   -1.556  +0.005   RobPlugin_logic_exc_fsm_stateReg_reg[3]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  42   -1.542  +0.014   AluEuPlugin_logic_s1Ctx_uop_op_reg[1]/C -> RobPlugin_logic_nzvcValStore_44_reg[2]/D
  43   -1.531  +0.011   FetchAlignPlugin_logic_ibuf/entries_18_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  44   -1.530  +0.001   DcachePlugin_logic_valids_3_72_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  45   -1.523  +0.007   DcachePlugin_logic_valids_3_73_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  46   -1.520  +0.003   RobPlugin_logic_faultedStore_46_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  47   -1.509  +0.011   DcachePlugin_logic_ldS1Set_reg[1]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  48   -1.508  +0.001   IssueQueuePlugin_logic_lines_1_ways_1_lsWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  49   -1.507  +0.001   FetchAlignPlugin_logic_ibuf/headPtr_reg[3]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  50   -1.502  +0.005   AluEuPlugin_logic_s1X_1_reg/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
  51   -1.501  +0.001   DcachePlugin_logic_ldS1Set_reg[1]/C -> DcachePlugin_logic_evictWDone_reg/D
  52   -1.501  +0.000   DcachePlugin_logic_valids_1_91_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  53   -1.498  +0.003   DcachePlugin_logic_valids_3_88_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  54   -1.498  +0.000   FetchAlignPlugin_logic_decodePc_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  55   -1.496  +0.002   DcachePlugin_logic_valids_3_65_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  56   -1.494  +0.002   LsEuPlugin_logic_bkBusy_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  57   -1.489  +0.005   DcachePlugin_logic_valids_3_64_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  58   -1.482  +0.007   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMB/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  59   -1.478  +0.004   IssueQueuePlugin_logic_lines_1_ways_1_aluSlowWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  60   -1.471  +0.007   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMA/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  61   -1.465  +0.006   IssueQueuePlugin_logic_lines_1_ways_1_triggers_reg[2]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  62   -1.464  +0.001   RobPlugin_logic_faultedStore_62_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  63   -1.464  +0.000   DcachePlugin_logic_storeMissBarrier_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  64   -1.458  +0.006   DcachePlugin_logic_valids_3_74_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  65   -1.450  +0.008   DcachePlugin_logic_valids_3_89_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  66   -1.450  +0.000   DcachePlugin_logic_stS2Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  67   -1.450  +0.000   DcachePlugin_logic_stS1Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  68   -1.449  +0.001   LsEuPlugin_logic_alignedMem_0_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  69   -1.448  +0.001   DcachePlugin_logic_stS3Valid_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  70   -1.443  +0.005   LsEuPlugin_logic_alignedMem_1_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  71   -1.439  +0.004   DcachePlugin_logic_valids_1_65_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  72   -1.435  +0.004   RobPlugin_logic_faultedStore_60_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  73   -1.432  +0.003   RobPlugin_logic_faultedStore_61_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  74   -1.432  +0.000   FetchAlignPlugin_logic_ibuf/entries_17_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  75   -1.431  +0.001   DcachePlugin_logic_valids_3_68_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  76   -1.429  +0.002   _zz_DecodeStage_logic_fed_payload_specs_1_srcEa_klass_reg[1]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
  77   -1.429  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMD/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  78   -1.428  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMF_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  79   -1.424  +0.004   DcachePlugin_logic_valids_1_74_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  80   -1.422  +0.002   RobPlugin_logic_exc_ldoValidReg_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[9]/R
  81   -1.421  +0.001   DcachePlugin_logic_valids_3_58_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  82   -1.420  +0.001   AluEuPlugin_logic_s1Ctx_uop_op_1_reg[2]/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
  83   -1.420  +0.000   FetchAlignPlugin_logic_ibuf/entries_16_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  84   -1.419  +0.001   FetchAlignPlugin_logic_ibuf/entries_19_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_predictPending_reg/D
  85   -1.415  +0.004   DcachePlugin_logic_valids_3_33_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  86   -1.414  +0.001   DcachePlugin_logic_valids_3_95_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  87   -1.410  +0.004   DcachePlugin_logic_valids_3_71_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  88   -1.409  +0.001   DcachePlugin_logic_valids_1_64_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  89   -1.407  +0.002   DcachePlugin_logic_valids_3_90_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  90   -1.404  +0.003   RobPlugin_logic_head_reg[0]_rep__6/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  91   -1.403  +0.001   RobPlugin_logic_completes_62_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  92   -1.402  +0.001   DecodeStage_logic_ucPendValid_reg_rep__3/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  93   -1.400  +0.002   DcachePlugin_logic_valids_3_91_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  94   -1.398  +0.002   RobPlugin_logic_faultedStore_57_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  95   -1.398  +0.000   RobPlugin_logic_faultedStore_59_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  96   -1.398  +0.000   FetchAlignPlugin_logic_ibuf/entries_19_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  97   -1.397  +0.001   DcachePlugin_logic_fsm_stateReg_reg[2]_rep__0/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
  98   -1.394  +0.003   RobPlugin_logic_faultedStore_4_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  99   -1.391  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAME_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 100   -1.389  +0.002   RobPlugin_logic_faultedStore_63_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 101   -1.389  +0.000   LsEuPlugin_logic_alignedMem_2_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 102   -1.388  +0.001   RobPlugin_logic_faultedStore_55_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 103   -1.387  +0.001   DcachePlugin_logic_refillReqIsStore_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 104   -1.383  +0.004   DcachePlugin_logic_loadMissStoreBarrier_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 105   -1.383  +0.000   FetchAlignPlugin_logic_predictTargetReg_reg[12]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
 106   -1.379  +0.004   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAME/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 107   -1.379  +0.000   DcachePlugin_logic_valids_1_67_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 108   -1.379  +0.000   DcachePlugin_logic_valids_1_73_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 109   -1.377  +0.002   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMA_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 110   -1.376  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMC/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 111   -1.375  +0.001   RobPlugin_logic_faultedStore_56_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 112   -1.374  +0.001   IssueQueuePlugin_logic_lines_0_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[42]/D
 113   -1.374  +0.000   DcachePlugin_logic_valids_3_66_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 114   -1.372  +0.002   RobPlugin_logic_faultedStore_42_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 115   -1.371  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMA/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 116   -1.370  +0.001   DcachePlugin_logic_valids_1_66_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 117   -1.367  +0.003   IssueQueuePlugin_logic_lines_2_ways_0_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 118   -1.367  +0.000   DcachePlugin_logic_valids_2_95_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 119   -1.366  +0.001   DcachePlugin_logic_valids_3_79_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 120   -1.362  +0.004   DcachePlugin_logic_valids_1_11_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 121   -1.361  +0.001   IssueQueuePlugin_logic_lines_1_ways_1_cplxWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 122   -1.358  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMF/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 123   -1.357  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMG/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 124   -1.356  +0.001   IssueQueuePlugin_logic_lines_2_ways_0_triggers_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 125   -1.354  +0.002   DcachePlugin_logic_fsm_stateReg_reg[0]_rep__2/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 126   -1.352  +0.002   IssueQueuePlugin_logic_lines_2_ways_1_triggers_reg[2]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 127   -1.348  +0.004   DcachePlugin_logic_fsm_stateReg_reg[0]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 128   -1.347  +0.001   DcachePlugin_logic_valids_3_86_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 129   -1.344  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMB/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 130   -1.343  +0.001   DcachePlugin_logic_valids_3_60_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 131   -1.342  +0.001   LsEuPlugin_logic_p4Ctx_fwdStall_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 132   -1.337  +0.005   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMC/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 133   -1.336  +0.001   RobPlugin_logic_head_reg[1]_rep__6/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 134   -1.336  +0.000   DcachePlugin_logic_valids_3_32_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 135   -1.335  +0.001   DcachePlugin_logic_valids_3_80_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 136   -1.335  +0.000   DcachePlugin_logic_valids_1_119_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 137   -1.334  +0.001   DcachePlugin_logic_fsm_stateReg_reg[1]_rep__2/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 138   -1.334  +0.000   DcachePlugin_logic_stS3Way_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 139   -1.334  +0.000   DcachePlugin_logic_fsm_stateReg_reg[1]_rep__0/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 140   -1.334  +0.000   RobPlugin_logic_faultedStore_30_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 141   -1.333  +0.001   DcachePlugin_logic_valids_2_26_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 142   -1.333  +0.000   DcachePlugin_logic_valids_1_90_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 143   -1.333  +0.000   RobPlugin_logic_faultedStore_44_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 144   -1.333  +0.000   DcachePlugin_logic_valids_3_87_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 145   -1.330  +0.003   DcachePlugin_logic_valids_2_11_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 146   -1.326  +0.004   DcachePlugin_logic_valids_1_70_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 147   -1.325  +0.001   LsEuPlugin_logic_p4Ctx_fwdHit_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 148   -1.324  +0.001   DcachePlugin_logic_valids_3_76_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 149   -1.324  +0.000   RobPlugin_logic_faultedStore_58_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 150   -1.324  +0.000   DcachePlugin_logic_valids_1_88_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 151   -1.322  +0.002   DcachePlugin_logic_victimWay_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 152   -1.321  +0.001   _zz_DecodeStage_logic_fed_payload_specs_1_spec_op_reg[0]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
 153   -1.320  +0.001   DcachePlugin_logic_valids_3_70_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 154   -1.318  +0.002   DcachePlugin_logic_valids_1_80_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 155   -1.317  +0.001   DcachePlugin_logic_valids_1_71_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 156   -1.317  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMD_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 157   -1.315  +0.002   FetchAlignPlugin_logic_ibuf/entries_0_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_predictPending_reg/D
 158   -1.312  +0.003   IssueQueuePlugin_logic_lines_1_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 159   -1.312  +0.000   FetchAlignPlugin_logic_ibuf/entries_0_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_predictPending_reg/D
 160   -1.310  +0.002   FetchAlignPlugin_logic_ibuf/entries_17_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_predictPending_reg/D
 161   -1.310  +0.000   RobPlugin_logic_head_reg[3]_rep__5/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 162   -1.309  +0.001   RobPlugin_logic_faultedStore_40_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 163   -1.307  +0.002   RobPlugin_logic_faultedStore_41_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 164   -1.307  +0.000   FetchAlignPlugin_logic_ibuf/entries_1_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_predictPending_reg/D
 165   -1.307  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMF_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 166   -1.305  +0.002   RobPlugin_logic_completes_42_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 167   -1.304  +0.001   AluEuPlugin_logic_s1X_reg/C -> RobPlugin_logic_nzvcValStore_44_reg[2]/D
 168   -1.301  +0.003   RobPlugin_logic_faultedStore_34_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 169   -1.298  +0.003   RobPlugin_logic_faultedStore_38_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 170   -1.297  +0.001   LsEuPlugin_logic_alignedMem_3_vaddr_reg[14]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 171   -1.297  +0.000   RobPlugin_logic_faultedStore_6_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 172   -1.295  +0.002   DcachePlugin_logic_valids_3_92_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 173   -1.295  +0.000   LsEuPlugin_logic_p4Ctx_xlate_front_twoAccess_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 174   -1.295  +0.000   DcachePlugin_logic_missFault_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 175   -1.295  +0.000   FetchAlignPlugin_logic_ibuf/count_reg[2]/C -> FetchAlignPlugin_logic_predictPending_reg/D
 176   -1.295  +0.000   DcachePlugin_logic_valids_2_111_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 177   -1.295  +0.000   RobPlugin_logic_head_reg[1]_rep__5/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 178   -1.294  +0.001   AluEuPlugin_logic_s1Src1_1_reg[0]/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
 179   -1.294  +0.000   DcachePlugin_logic_valids_1_87_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 180   -1.292  +0.002   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMD/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 181   -1.291  +0.001   DcachePlugin_logic_valids_1_0_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 182   -1.290  +0.001   RobPlugin_logic_completes_63_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 183   -1.289  +0.001   RobPlugin_logic_faultedStore_36_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 184   -1.288  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAME_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 185   -1.285  +0.003   FetchAlignPlugin_logic_ibuf/entries_2_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_predictPending_reg/D
 186   -1.284  +0.001   DcachePlugin_logic_valids_3_81_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 187   -1.283  +0.001   IssueQueuePlugin_logic_lines_2_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 188   -1.283  +0.000   DcachePlugin_logic_valids_1_121_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 189   -1.282  +0.001   RobPlugin_logic_completes_14_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 190   -1.281  +0.001   DcachePlugin_logic_valids_3_59_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 191   -1.281  +0.000   _zz_DecodeStage_logic_fed_payload_packets_1_words_0_reg[3]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
 192   -1.280  +0.001   DcachePlugin_logic_valids_1_94_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
